Type,Action,Campaign,Ad Group,Status,Budget,Bid strategy type,Max CPC,Networks,Ad Schedule,Start date,Keyword,Match type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL,Sitelink text,Sitelink description 1,Sitelink description 2,Sitelink Final URL,Callout text,Location,Political ads confirmation
Keyword,Add,Channel Letters - GTA,Channel Letters - Exact,Enabled,,,,,,,channel letters near me,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Channel Letters - GTA,Channel Letters - Exact,Enabled,,,,,,,backlit channel letters,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Channel Letters - GTA,Channel Letters - Exact,Enabled,,,,,,,channel letter sign company,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad Group,Add,Channel Letters - GTA,Channel Letters - Phrase,Enabled,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Channel Letters - GTA,Channel Letters - Phrase,Enabled,,,,,,,channel letters,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Channel Letters - GTA,Channel Letters - Phrase,Enabled,,,,,,,channel letters for business,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Channel Letters - GTA,Channel Letters - Phrase,Enabled,,,,,,,channel letter sign,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Channel Letters - GTA,Channel Letters - Phrase,Enabled,,,,,,,illuminated letters,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Channel Letters - GTA,Channel Letters - Phrase,Enabled,,,,,,,LED sign letters,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Channel Letters - GTA,Channel Letters - Phrase,Enabled,,,,,,,custom channel letters,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Responsive search ad,Add,Channel Letters - GTA,Channel Letters - Phrase,Enabled,,,,,,,,,Custom Channel Letters,LED Channel Letter Signs,Channel Letters Vaughan,Illuminated Sign Letters,Halo Lit Channel Letters,Get Channel Letters Today,Front-Lit Letter Signs,Channel Letters Near Me,Custom Sign Company,Custom Business Signs,50000+ Hour LED Signs,In-House Fabrication,Channel Letters Toronto,Free Quote Today,3-5 Week Turnaround,Custom channel letters for your business. LED illuminated & energy-efficient. Free quote.,In-house design and fabrication. Trusted by GTA businesses. 4.9-star rated.,Channel letters starting from $3000. Front-lit and reverse-lit options. Permit handling.,Get a free quote on custom channel letters. Professional install. 24 hour quote response.,channel,letters,https://custombusinesssigns.ca/channel-letters,,,,,,,
Responsive search ad,Add,Channel Letters - GTA,Channel Letters - Exact,Enabled,,,,,,,,,Custom Channel Letters,LED Channel Letter Signs,Channel Letters Vaughan,Illuminated Sign Letters,Halo Lit Channel Letters,Get Channel Letters Today,Front-Lit Letter Signs,Channel Letters Near Me,Custom Sign Company,Custom Business Signs,50000+ Hour LED Signs,In-House Fabrication,Channel Letters Toronto,Free Quote Today,3-5 Week Turnaround,Custom channel letters for your business. LED illuminated & energy-efficient. Free quote.,In-house design and fabrication. Trusted by GTA businesses. 4.9-star rated.,Channel letters starting from $3000. Front-lit and reverse-lit options. Permit handling.,Get a free quote on custom channel letters. Professional install. 24 hour quote response.,channel,letters,https://custombusinesssigns.ca/channel-letters,,,,,,,
Sitelink,Add,Channel Letters - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free Quote,Get your free sign quote,We respond within 24 hours,https://custombusinesssigns.ca/#quote,,,
Sitelink,Add,Channel Letters - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Our Services,Channel letters wraps & more,Full range of custom signs,https://custombusinesssigns.ca/services,,,
Sitelink,Add,Channel Letters - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,About Us,Top-rated GTA sign maker,Locally owned based in Vaughan,https://custombusinesssigns.ca/about,,,
Sitelink,Add,Channel Letters - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contact Us,Call 905-597-8635,Visit our Vaughan showroom,https://custombusinesssigns.ca/contact,,,
Callout,Add,Channel Letters - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free Quotes,,
Callout,Add,Channel Letters - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In-House Fabrication,,
Callout,Add,Channel Letters - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9-Star Google Rated,,
Callout,Add,Channel Letters - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Permit Handling,,
Callout,Add,Channel Letters - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24hr Quote Response,,
Callout,Add,Channel Letters - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Serving All of the GTA,,
Campaign,Add,Storefront Signs - GTA,,Paused,30.00,Maximize Clicks,,Google Search,(Monday[10:00-18:00]);(Tuesday[10:00-18:00]);(Wednesday[10:00-18:00]);(Thursday[10:00-18:00]);(Friday[10:00-18:00]),2026-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Add,Storefront Signs - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(30.0mi:43.836102:-79.50821),Not a political ad
Ad Group,Add,Storefront Signs - GTA,Storefront Signs - Exact,Enabled,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Storefront Signs - GTA,Storefront Signs - Exact,Enabled,,,,,,,storefront signs,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Storefront Signs - GTA,Storefront Signs - Exact,Enabled,,,,,,,storefront signage,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Storefront Signs - GTA,Storefront Signs - Exact,Enabled,,,,,,,storefront signs vaughan,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Storefront Signs - GTA,Storefront Signs - Exact,Enabled,,,,,,,business storefront sign,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Storefront Signs - GTA,Storefront Signs - Exact,Enabled,,,,,,,store sign company near me,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Storefront Signs - GTA,Storefront Signs - Exact,Enabled,,,,,,,illuminated storefront sign,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Storefront Signs - GTA,Storefront Signs - Exact,Enabled,,,,,,,shop front sign,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Storefront Signs - GTA,Storefront Signs - Exact,Enabled,,,,,,,business sign installation,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad Group,Add,Storefront Signs - GTA,Storefront Signs - Phrase,Enabled,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Storefront Signs - GTA,Storefront Signs - Phrase,Enabled,,,,,,,storefront signs,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Storefront Signs - GTA,Storefront Signs - Phrase,Enabled,,,,,,,store front sign,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Storefront Signs - GTA,Storefront Signs - Phrase,Enabled,,,,,,,business sign for store,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Storefront Signs - GTA,Storefront Signs - Phrase,Enabled,,,,,,,exterior business sign,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Storefront Signs - GTA,Storefront Signs - Phrase,Enabled,,,,,,,custom store sign,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Responsive search ad,Add,Storefront Signs - GTA,Storefront Signs - Phrase,Enabled,,,,,,,,,Custom Storefront Signs,Storefront Signs Vaughan,Business Sign Installation,Illuminated Store Signs,Store Sign Company GTA,Get Your Storefront Signs,Complete Sign Packages,Professional Sign Install,Custom Sign Design,Custom Business Signs,Free Sign Consultation,Window Graphics Included,Fascia Signs & Lettering,Blade Signs Available,Full Brand Packages,Custom storefront signs - design and install in-house. Illuminated options. Free quote.,"Complete storefront packages: channel letters, window vinyl and blades. 4.9-star rated.",Professional storefront signage for retail and offices. We handle permits. Call today.,Get a free quote on custom storefront signs. In-house fabrication means faster turnaround.,storefront,signs,https://custombusinesssigns.ca/storefront-signs,,,,,,,
Responsive search ad,Add,Storefront Signs - GTA,Storefront Signs - Exact,Enabled,,,,,,,,,Custom Storefront Signs,Storefront Signs Vaughan,Business Sign Installation,Illuminated Store Signs,Store Sign Company GTA,Get Your Storefront Signs,Complete Sign Packages,Professional Sign Install,Custom Sign Design,Custom Business Signs,Free Sign Consultation,Window Graphics Included,Fascia Signs & Lettering,Blade Signs Available,Full Brand Packages,Custom storefront signs - design and install in-house. Illuminated options. Free quote.,"Complete storefront packages: channel letters, window vinyl and blades. 4.9-star rated.",Professional storefront signage for retail and offices. We handle permits. Call today.,Get a free quote on custom storefront signs. In-house fabrication means faster turnaround.,storefront,signs,https://custombusinesssigns.ca/storefront-signs,,,,,,,
Sitelink,Add,Storefront Signs - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free Quote,Get your free sign quote,We respond within 24 hours,https://custombusinesssigns.ca/#quote,,,
Sitelink,Add,Storefront Signs - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Our Services,Channel letters wraps & more,Full range of custom signs,https://custombusinesssigns.ca/services,,,
Sitelink,Add,Storefront Signs - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,About Us,Top-rated GTA sign maker,Locally owned based in Vaughan,https://custombusinesssigns.ca/about,,,
Sitelink,Add,Storefront Signs - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contact Us,Call 905-597-8635,Visit our Vaughan showroom,https://custombusinesssigns.ca/contact,,,
Callout,Add,Storefront Signs - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free Quotes,,
Callout,Add,Storefront Signs - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In-House Fabrication,,
Callout,Add,Storefront Signs - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9-Star Google Rated,,
Callout,Add,Storefront Signs - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Permit Handling,,
Callout,Add,Storefront Signs - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24hr Quote Response,,
Callout,Add,Storefront Signs - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Serving All of the GTA,,
Campaign,Add,Vehicle Wraps - GTA,,Paused,25.00,Maximize Clicks,,Google Search,(Monday[10:00-18:00]);(Tuesday[10:00-18:00]);(Wednesday[10:00-18:00]);(Thursday[10:00-18:00]);(Friday[10:00-18:00]),2026-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Add,Vehicle Wraps - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(30.0mi:43.836102:-79.50821),Not a political ad
Ad Group,Add,Vehicle Wraps - GTA,Vehicle Wraps - Exact,Enabled,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Vehicle Wraps - GTA,Vehicle Wraps - Exact,Enabled,,,,,,,vehicle wraps,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Vehicle Wraps - GTA,Vehicle Wraps - Exact,Enabled,,,,,,,vehicle wrap near me,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Vehicle Wraps - GTA,Vehicle Wraps - Exact,Enabled,,,,,,,car wraps vaughan,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Vehicle Wraps - GTA,Vehicle Wraps - Exact,Enabled,,,,,,,van wrap toronto,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Vehicle Wraps - GTA,Vehicle Wraps - Exact,Enabled,,,,,,,fleet graphics,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Vehicle Wraps - GTA,Vehicle Wraps - Exact,Enabled,,,,,,,truck wrap,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Vehicle Wraps - GTA,Vehicle Wraps - Exact,Enabled,,,,,,,vehicle graphics company,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Vehicle Wraps - GTA,Vehicle Wraps - Exact,Enabled,,,,,,,commercial vehicle wrap,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad Group,Add,Vehicle Wraps - GTA,Vehicle Wraps - Phrase,Enabled,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Vehicle Wraps - GTA,Vehicle Wraps - Phrase,Enabled,,,,,,,vehicle wrap,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Vehicle Wraps - GTA,Vehicle Wraps - Phrase,Enabled,,,,,,,car wrap,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Vehicle Wraps - GTA,Vehicle Wraps - Phrase,Enabled,,,,,,,fleet wrap,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Vehicle Wraps - GTA,Vehicle Wraps - Phrase,Enabled,,,,,,,van graphics,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Vehicle Wraps - GTA,Vehicle Wraps - Phrase,Enabled,,,,,,,truck lettering,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Responsive search ad,Add,Vehicle Wraps - GTA,Vehicle Wraps - Phrase,Enabled,,,,,,,,,Premium Vehicle Wraps GTA,Turn Vehicles Into Billboards,High-Impact Fleet Graphics,3M & Avery Cast Vinyl Wraps,Get Noticed Across The GTA,Custom Car & Van Wraps,Boost Your Brand Visibility,Flawless Wrap Installations,Professional Truck Wraps,Stand Out Every Single Day,5-7 Year Wrap Durability,Top Rated GTA Sign Shop,Drive More Sales And Leads,Free Vehicle Wrap Quote,Transform Your Fleet Today,Turn drives into marketing opportunities with stunning high-ROI custom vehicle wraps.,Expertly installed 3M & Avery vinyl wraps. Protect your paint & boost brand visibility.,Full partial and fleet wraps designed to stop traffic.,Get your free quote today! Fast turnaround certified installers & 5-7 year durability.,vehicle,wraps,https://custombusinesssigns.ca/vehicle-wraps,,,,,,,
Responsive search ad,Add,Vehicle Wraps - GTA,Vehicle Wraps - Exact,Enabled,,,,,,,,,Premium Vehicle Wraps GTA,Turn Vehicles Into Billboards,High-Impact Fleet Graphics,3M & Avery Cast Vinyl Wraps,Get Noticed Across The GTA,Custom Car & Van Wraps,Boost Your Brand Visibility,Flawless Wrap Installations,Professional Truck Wraps,Stand Out Every Single Day,5-7 Year Wrap Durability,Top Rated GTA Sign Shop,Drive More Sales And Leads,Free Vehicle Wrap Quote,Transform Your Fleet Today,Turn drives into marketing opportunities with stunning high-ROI custom vehicle wraps.,Expertly installed 3M & Avery vinyl wraps. Protect your paint & boost brand visibility.,Full partial and fleet wraps designed to stop traffic.,Get your free quote today! Fast turnaround certified installers & 5-7 year durability.,vehicle,wraps,https://custombusinesssigns.ca/vehicle-wraps,,,,,,,
Sitelink,Add,Vehicle Wraps - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free Quote,Get your free sign quote,We respond within 24 hours,https://custombusinesssigns.ca/#quote,,,
Sitelink,Add,Vehicle Wraps - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Our Services,Channel letters wraps & more,Full range of custom signs,https://custombusinesssigns.ca/services,,,
Sitelink,Add,Vehicle Wraps - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,About Us,Top-rated GTA sign maker,Locally owned based in Vaughan,https://custombusinesssigns.ca/about,,,
Sitelink,Add,Vehicle Wraps - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contact Us,Call 905-597-8635,Visit our Vaughan showroom,https://custombusinesssigns.ca/contact,,,
Callout,Add,Vehicle Wraps - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free Quotes,,
Callout,Add,Vehicle Wraps - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3M & Avery Vinyl,,
Callout,Add,Vehicle Wraps - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9-Star Google Rated,,
Callout,Add,Vehicle Wraps - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5-7 Year Durability,,
Callout,Add,Vehicle Wraps - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fleet Programs Available,,
Callout,Add,Vehicle Wraps - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Serving All of the GTA,,
Campaign,Add,Illuminated Signs - GTA,,Paused,20.00,Maximize Clicks,,Google Search,(Monday[10:00-18:00]);(Tuesday[10:00-18:00]);(Wednesday[10:00-18:00]);(Thursday[10:00-18:00]);(Friday[10:00-18:00]),2026-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Add,Illuminated Signs - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(30.0mi:43.836102:-79.50821),Not a political ad
Ad Group,Add,Illuminated Signs - GTA,Illuminated Signs - Exact,Enabled,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Illuminated Signs - GTA,Illuminated Signs - Exact,Enabled,,,,,,,illuminated signs,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Illuminated Signs - GTA,Illuminated Signs - Exact,Enabled,,,,,,,illuminated signs vaughan,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Illuminated Signs - GTA,Illuminated Signs - Exact,Enabled,,,,,,,light box signs,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Illuminated Signs - GTA,Illuminated Signs - Exact,Enabled,,,,,,,LED signs,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Illuminated Signs - GTA,Illuminated Signs - Exact,Enabled,,,,,,,illuminated business signs,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Illuminated Signs - GTA,Illuminated Signs - Exact,Enabled,,,,,,,backlit signs,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Illuminated Signs - GTA,Illuminated Signs - Exact,Enabled,,,,,,,illuminated sign company near me,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Illuminated Signs - GTA,Illuminated Signs - Exact,Enabled,,,,,,,neon style LED signs,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad Group,Add,Illuminated Signs - GTA,Illuminated Signs - Phrase,Enabled,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Illuminated Signs - GTA,Illuminated Signs - Phrase,Enabled,,,,,,,illuminated sign,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Illuminated Signs - GTA,Illuminated Signs - Phrase,Enabled,,,,,,,light box sign,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Illuminated Signs - GTA,Illuminated Signs - Phrase,Enabled,,,,,,,LED business sign,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Illuminated Signs - GTA,Illuminated Signs - Phrase,Enabled,,,,,,,backlit sign,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Illuminated Signs - GTA,Illuminated Signs - Phrase,Enabled,,,,,,,illuminated signage,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Responsive search ad,Add,Illuminated Signs - GTA,Illuminated Signs - Phrase,Enabled,,,,,,,,,Illuminated Signs,LED Illuminated Signs,Light Box Signs GTA,Backlit Business Signs,24/7 Brand Visibility,Illuminated Signs Vaughan,Energy-Efficient LEDs,Light Box Cabinets,Edge-Lit Signs,Custom Business Signs,Neon-Style LED Flex,Custom LED Signage,Free Sign Quote,Sign Company Near Me,In-House Fabrication,Illuminated signs for 24/7 visibility. LED letters and light boxes. Energy-efficient.,Custom illuminated signs designed and installed in-house. LEDs use 80% less energy.,"Light box signs, backlit panels and LED message boards. We handle permits. Call us today.",Get a free quote on illuminated signs. In-house fabrication and install. Fast responses.,illuminated,signs,https://custombusinesssigns.ca/illuminated-signs,,,,,,,
Responsive search ad,Add,Illuminated Signs - GTA,Illuminated Signs - Exact,Enabled,,,,,,,,,Illuminated Signs,LED Illuminated Signs,Light Box Signs GTA,Backlit Business Signs,24/7 Brand Visibility,Illuminated Signs Vaughan,Energy-Efficient LEDs,Light Box Cabinets,Edge-Lit Signs,Custom Business Signs,Neon-Style LED Flex,Custom LED Signage,Free Sign Quote,Sign Company Near Me,In-House Fabrication,Illuminated signs for 24/7 visibility. LED letters and light boxes. Energy-efficient.,Custom illuminated signs designed and installed in-house. LEDs use 80% less energy.,"Light box signs, backlit panels and LED message boards. We handle permits. Call us today.",Get a free quote on illuminated signs. In-house fabrication and install. Fast responses.,illuminated,signs,https://custombusinesssigns.ca/illuminated-signs,,,,,,,
Sitelink,Add,Illuminated Signs - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free Quote,Get your free sign quote,We respond within 24 hours,https://custombusinesssigns.ca/#quote,,,
Sitelink,Add,Illuminated Signs - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Our Services,Channel letters wraps & more,Full range of custom signs,https://custombusinesssigns.ca/services,,,
Sitelink,Add,Illuminated Signs - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,About Us,Top-rated GTA sign maker,Locally owned based in Vaughan,https://custombusinesssigns.ca/about,,,
Sitelink,Add,Illuminated Signs - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contact Us,Call 905-597-8635,Visit our Vaughan showroom,https://custombusinesssigns.ca/contact,,,
Callout,Add,Illuminated Signs - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free Quotes,,
Callout,Add,Illuminated Signs - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In-House Fabrication,,
Callout,Add,Illuminated Signs - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9-Star Google Rated,,
Callout,Add,Illuminated Signs - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Permit Handling,,
Callout,Add,Illuminated Signs - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24hr Quote Response,,
Callout,Add,Illuminated Signs - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Serving All of the GTA,,
Campaign,Add,Pylon Signs - GTA,,Paused,20.00,Maximize Clicks,,Google Search,(Monday[10:00-18:00]);(Tuesday[10:00-18:00]);(Wednesday[10:00-18:00]);(Thursday[10:00-18:00]);(Friday[10:00-18:00]),2026-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Add,Pylon Signs - GTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(30.0mi:43.836102:-79.50821),Not a political ad
Ad Group,Add,Pylon Signs - GTA,Pylon Signs - Exact,Enabled,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Pylon Signs - GTA,Pylon Signs - Exact,Enabled,,,,,,,pylon signs,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Pylon Signs - GTA,Pylon Signs - Exact,Enabled,,,,,,,pylon sign company,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Pylon Signs - GTA,Pylon Signs - Exact,Enabled,,,,,,,monument signs,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Pylon Signs - GTA,Pylon Signs - Exact,Enabled,,,,,,,pylon signs vaughan,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Pylon Signs - GTA,Pylon Signs - Exact,Enabled,,,,,,,freestanding sign,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Pylon Signs - GTA,Pylon Signs - Exact,Enabled,,,,,,,plaza sign,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,Pylon Signs - GTA,Pylon Signs - Exact,Enabled,,,,,,,multi tenant pylon sign,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad Group,Add,Pylon Signs - GTA,Pylon Signs - Phrase,Enabled,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
